src_ip,dst_ip,protocol,length,time
34.139.124.58,192.168.1.5,6,54,1744613785.431971
34.139.124.58,192.168.1.5,6,89,1744613785.431971
34.139.124.58,192.168.1.5,6,487,1744613785.435068
34.139.124.58,192.168.1.5,6,85,1744613785.435068
192.168.1.5,34.139.124.58,6,54,1744613785.435159
192.168.1.5,20.189.173.6,6,54,1744613785.871078
192.168.1.5,20.189.173.6,6,54,1744613785.871437
34.139.124.58,192.168.1.5,6,66,1744613785.873663
192.168.1.5,192.168.1.1,17,110,1744613786.123342
192.168.1.1,192.168.1.5,1,138,1744613786.127015
20.189.173.6,192.168.1.5,6,54,1744613786.172299
20.189.173.6,192.168.1.5,6,54,1744613786.172299
192.168.1.5,20.189.173.6,6,54,1744613786.172498
192.168.1.5,192.168.1.1,17,110,1744613787.633422
192.168.1.1,192.168.1.5,1,138,1744613787.637022
192.168.1.5,34.139.124.58,6,148,1744613788.188666
34.139.124.58,192.168.1.5,6,424,1744613788.503465
192.168.1.5,34.139.124.58,6,148,1744613788.504973
192.168.1.5,34.139.124.58,6,1474,1744613788.505063
192.168.1.5,34.139.124.58,6,486,1744613788.505063
192.168.1.5,34.237.73.95,6,294,1744613788.594491
34.139.124.58,192.168.1.5,6,54,1744613788.773421
34.139.124.58,192.168.1.5,6,89,1744613788.773421
34.139.124.58,192.168.1.5,6,487,1744613788.783283
34.139.124.58,192.168.1.5,6,85,1744613788.783283
192.168.1.5,34.139.124.58,6,54,1744613788.78335
192.168.1.5,34.139.124.58,6,89,1744613788.784187
34.237.73.95,192.168.1.5,6,315,1744613788.837893
192.168.1.5,34.237.73.95,6,54,1744613788.887978
34.139.124.58,192.168.1.5,6,54,1744613789.117168
192.168.1.5,34.139.124.58,6,144,1744613789.274112
192.168.1.5,34.139.124.58,6,614,1744613789.274225
192.168.1.5,34.139.124.58,6,144,1744613789.355927
192.168.1.5,34.139.124.58,6,614,1744613789.356097
192.168.1.5,34.139.124.58,6,144,1744613789.355927
192.168.1.5,34.139.124.58,6,614,1744613789.356097
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,89,1744613789.628453
34.139.124.58,192.168.1.5,6,487,1744613789.628453
34.139.124.58,192.168.1.5,6,85,1744613789.628453
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,89,1744613789.628453
192.168.1.5,34.139.124.58,6,54,1744613789.62873
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,89,1744613789.628453
34.139.124.58,192.168.1.5,6,487,1744613789.628453
34.139.124.58,192.168.1.5,6,85,1744613789.628453
34.139.124.58,192.168.1.5,6,54,1744613789.628453
34.139.124.58,192.168.1.5,6,89,1744613789.628453
192.168.1.5,34.139.124.58,6,54,1744613789.62873
34.139.124.58,192.168.1.5,6,487,1744613789.637724
34.139.124.58,192.168.1.5,6,85,1744613789.637724
192.168.1.5,34.139.124.58,6,54,1744613789.637799
34.139.124.58,192.168.1.5,6,487,1744613789.637724
34.139.124.58,192.168.1.5,6,85,1744613789.637724
192.168.1.5,34.139.124.58,6,54,1744613789.637799
34.139.124.58,192.168.1.5,6,66,1744613789.935853
34.139.124.58,192.168.1.5,6,66,1744613789.935853
192.168.1.1,192.168.1.255,17,363,1744613790.651704
192.168.1.1,192.168.1.255,17,363,1744613790.651704
192.168.1.5,34.139.124.58,6,148,1744613792.594551
192.168.1.5,34.139.124.58,6,144,1744613792.594704
192.168.1.5,34.139.124.58,6,148,1744613792.594551
192.168.1.5,34.139.124.58,6,144,1744613792.594704
192.168.1.5,34.139.124.58,6,1474,1744613792.594801
192.168.1.5,34.139.124.58,6,667,1744613792.594801
192.168.1.5,34.139.124.58,6,614,1744613792.594957
192.168.1.5,34.139.124.58,6,1474,1744613792.594801
192.168.1.5,34.139.124.58,6,667,1744613792.594801
192.168.1.5,34.139.124.58,6,614,1744613792.594957
34.139.124.58,192.168.1.5,6,89,1744613792.905244
34.139.124.58,192.168.1.5,6,89,1744613792.905244
192.168.1.5,34.139.124.58,6,54,1744613792.905356
34.139.124.58,192.168.1.5,6,54,1744613792.905481
34.139.124.58,192.168.1.5,6,488,1744613792.905481
34.139.124.58,192.168.1.5,6,85,1744613792.905481
192.168.1.5,34.139.124.58,6,54,1744613792.905576
34.139.124.58,192.168.1.5,6,487,1744613792.905684
34.139.124.58,192.168.1.5,6,85,1744613792.905684
192.168.1.5,34.139.124.58,6,54,1744613792.905716
34.139.124.58,192.168.1.5,6,89,1744613792.905244
34.139.124.58,192.168.1.5,6,89,1744613792.905244
192.168.1.5,34.139.124.58,6,54,1744613792.905356
34.139.124.58,192.168.1.5,6,54,1744613792.905481
34.139.124.58,192.168.1.5,6,488,1744613792.905481
34.139.124.58,192.168.1.5,6,85,1744613792.905481
192.168.1.5,34.139.124.58,6,54,1744613792.905576
34.139.124.58,192.168.1.5,6,487,1744613792.905684
34.139.124.58,192.168.1.5,6,85,1744613792.905684
192.168.1.5,34.139.124.58,6,54,1744613792.905716
192.168.1.5,34.139.124.58,6,54,1744613795.375919
192.168.1.5,34.139.124.58,6,54,1744613795.375919
192.168.1.5,34.139.124.58,6,66,1744613795.608202
34.139.124.58,192.168.1.5,6,54,1744613795.643014
192.168.1.5,34.139.124.58,6,54,1744613795.643122
192.168.1.5,34.139.124.58,6,66,1744613795.608202
34.139.124.58,192.168.1.5,6,54,1744613795.643014
192.168.1.5,34.139.124.58,6,54,1744613795.643122
34.139.124.58,192.168.1.5,6,66,1744613795.879192
192.168.1.5,34.139.124.58,6,54,1744613795.879341
192.168.1.5,34.139.124.58,6,66,1744613795.880078
192.168.1.5,34.139.124.58,6,1474,1744613795.880804
34.139.124.58,192.168.1.5,6,66,1744613795.879192
192.168.1.5,34.139.124.58,6,54,1744613795.879341
192.168.1.5,34.139.124.58,6,66,1744613795.880078
192.168.1.5,34.139.124.58,6,1474,1744613795.880804
192.168.1.5,34.139.124.58,6,524,1744613795.880804
192.168.1.5,34.139.124.58,6,524,1744613795.880804
192.168.1.5,34.139.124.58,6,66,1744613796.046171
192.168.1.5,34.139.124.58,6,66,1744613796.046171
34.139.124.58,192.168.1.5,6,66,1744613796.135292
192.168.1.5,34.139.124.58,6,54,1744613796.135459
34.139.124.58,192.168.1.5,6,66,1744613796.135292
192.168.1.5,34.139.124.58,6,54,1744613796.135459
192.168.1.5,34.139.124.58,6,1474,1744613796.136492
192.168.1.5,34.139.124.58,6,556,1744613796.136492
192.168.1.5,34.139.124.58,6,1474,1744613796.136492
192.168.1.5,34.139.124.58,6,556,1744613796.136492
34.139.124.58,192.168.1.5,6,54,1744613796.149998
34.139.124.58,192.168.1.5,6,54,1744613796.149998
34.139.124.58,192.168.1.5,6,1474,1744613796.155084
34.139.124.58,192.168.1.5,6,1474,1744613796.155084
34.139.124.58,192.168.1.5,6,1474,1744613796.155084
34.139.124.58,192.168.1.5,6,1474,1744613796.155084
34.139.124.58,192.168.1.5,6,405,1744613796.155084
192.168.1.5,34.139.124.58,6,54,1744613796.155185
192.168.1.5,34.139.124.58,6,134,1744613796.155856
34.139.124.58,192.168.1.5,6,405,1744613796.155084
192.168.1.5,34.139.124.58,6,54,1744613796.155185
192.168.1.5,34.139.124.58,6,134,1744613796.155856
192.168.1.5,34.139.124.58,6,54,1744613796.15605
192.168.1.5,34.139.124.58,6,54,1744613796.15605
192.168.1.5,34.139.124.58,6,146,1744613796.156163
192.168.1.5,34.139.124.58,6,472,1744613796.156823
192.168.1.5,34.139.124.58,6,148,1744613796.1569
192.168.1.5,34.139.124.58,6,146,1744613796.156163
192.168.1.5,34.139.124.58,6,472,1744613796.156823
192.168.1.5,34.139.124.58,6,148,1744613796.1569
34.139.124.58,192.168.1.5,6,66,1744613796.38689
192.168.1.5,34.139.124.58,6,54,1744613796.387061
192.168.1.5,34.139.124.58,6,1474,1744613796.388022
34.139.124.58,192.168.1.5,6,66,1744613796.38689
192.168.1.5,34.139.124.58,6,54,1744613796.387061
192.168.1.5,34.139.124.58,6,1474,1744613796.388022
192.168.1.5,34.139.124.58,6,365,1744613796.388022
192.168.1.5,34.139.124.58,6,365,1744613796.388022
34.139.124.58,192.168.1.5,6,54,1744613796.389434
34.139.124.58,192.168.1.5,6,1474,1744613796.392554
34.139.124.58,192.168.1.5,6,54,1744613796.389434
34.139.124.58,192.168.1.5,6,1474,1744613796.392554
34.139.124.58,192.168.1.5,6,1474,1744613796.392554
34.139.124.58,192.168.1.5,6,405,1744613796.392554
34.139.124.58,192.168.1.5,6,1474,1744613796.392554
34.139.124.58,192.168.1.5,6,405,1744613796.392554
192.168.1.5,34.139.124.58,6,54,1744613796.392655
192.168.1.5,34.139.124.58,6,54,1744613796.392655
34.139.124.58,192.168.1.5,6,54,1744613796.416231
34.139.124.58,192.168.1.5,6,54,1744613796.416231
34.139.124.58,192.168.1.5,6,133,1744613796.425401
34.139.124.58,192.168.1.5,6,133,1744613796.425401
34.139.124.58,192.168.1.5,6,125,1744613796.425401
34.139.124.58,192.168.1.5,6,54,1744613796.425401
192.168.1.5,34.139.124.58,6,54,1744613796.42552
192.168.1.5,34.139.124.58,6,85,1744613796.425817
34.139.124.58,192.168.1.5,6,425,1744613796.427748
34.139.124.58,192.168.1.5,6,425,1744613796.427748
192.168.1.5,34.139.124.58,6,54,1744613796.427799
192.168.1.5,34.139.124.58,6,268,1744613796.430911
192.168.1.5,34.139.124.58,6,1474,1744613796.430999
192.168.1.5,34.139.124.58,6,666,1744613796.430999
192.168.1.5,34.139.124.58,6,148,1744613796.431369
192.168.1.5,34.139.124.58,6,614,1744613796.431432
34.139.124.58,192.168.1.5,6,133,1744613796.425401
34.139.124.58,192.168.1.5,6,133,1744613796.425401
34.139.124.58,192.168.1.5,6,125,1744613796.425401
34.139.124.58,192.168.1.5,6,54,1744613796.425401
192.168.1.5,34.139.124.58,6,54,1744613796.42552
